2026-03-03 11:45:11 UTC | 2026-03-03 11:45:11 | order_id=0xfe0e4bd93f13dc4d32682182805da8c5f1343324d29abf4fd8b5c2e714e1b24b | market=eth-updown-5m-1772538300 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 12:10:01 UTC | 2026-03-03 12:10:01 | order_id=0x4c8d792bcded342ba7008f4b4e81084dde9ebe723f8ec428fd615bc72b26047b | market=btc-updown-5m-1772539500 | coin=BTC | side=DOWN | entry=0.0090 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$0.0450
2026-03-03 12:15:11 UTC | 2026-03-03 12:15:11 | order_id=0x07f66956de2d3fb30964e552b0a6861e6e44206eb5a8ee0649606fabd191094c | market=btc-updown-5m-1772540100 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 12:15:11 UTC | 2026-03-03 12:15:11 | order_id=0xb5bfb4add9942eef6dbab761370d405ee4a5a70a3af18beb70c46f936a98acf1 | market=eth-updown-5m-1772540100 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 12:15:11 UTC | 2026-03-03 12:15:11 | order_id=0x7ba0c2c43565cb32ab7a88d758364dc58f35f29fb57593c84758182bd273bf50 | market=xrp-updown-5m-1772540100 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 15:10:11 UTC | 2026-03-03 15:10:11 | order_id=0xa00bbdc8e87bf40ced2d3e0d21c436047a7b26cfd3426b9c4116afa3593b4e19 | market=btc-updown-5m-1772550600 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 15:15:11 UTC | 2026-03-03 15:15:11 | order_id=0x65e40d9efddfda3af28eab912d749f97a3da7ac5961200a085b09726630b9282 | market=btc-updown-5m-1772550900 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 15:30:11 UTC | 2026-03-03 15:30:11 | order_id=0xa9811510543dc37c1dacb7771ef980ba7bd7d6a1fe7a41be37a6d32fd468dd4e | market=btc-updown-5m-1772551800 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 15:35:11 UTC | 2026-03-03 15:35:11 | order_id=0x651d90b6439de83dd79f959f4f2a4589cca33412e2e187e24953ebf97a4a8fe6 | market=btc-updown-5m-1772552100 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 15:40:11 UTC | 2026-03-03 15:40:11 | order_id=0x8c1cccd8cc5eb99889b628c980d6edfe78b0900e39044d5c5dab6fd148397346 | market=btc-updown-5m-1772552400 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 16:05:11 UTC | 2026-03-03 16:05:11 | order_id=0xb257750e130c704745e54fa0de202e0e62f83d5b3b31fe7ddb720a5a7c81c3ab | market=btc-updown-5m-1772553900 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 16:10:11 UTC | 2026-03-03 16:10:11 | order_id=0xa221460744f9ec0474cac8212557da47d27b7bfbfc4bca7aa0dfc32fc00ebc0b | market=btc-updown-5m-1772554200 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 16:10:11 UTC | 2026-03-03 16:10:11 | order_id=0x70f3ae6fd1aefe890ec332f72a5d88b8bdadc240ae887aa50573489f9d9ddf11 | market=eth-updown-5m-1772554200 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 16:10:11 UTC | 2026-03-03 16:10:11 | order_id=0x88a53e35911ff6555d7923003db5087ba4d13fd7eb211ce5e729de38b287058a | market=sol-updown-5m-1772554200 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 16:10:11 UTC | 2026-03-03 16:10:11 | order_id=0x3b5482744e618c82efe1c225aad019f250fdfff3f06d2e7e79305273bae90ad4 | market=xrp-updown-5m-1772554200 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 17:25:11 UTC | 2026-03-03 17:25:11 | order_id=0x559ddcf6bd9f6c8b05c1efe428f12de41322f7b7830f4e33ae09948bdd74b025 | market=btc-updown-5m-1772558700 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 17:30:11 UTC | 2026-03-03 17:30:11 | order_id=0x3c197cbd6d482a4c6e86f141af37f87f22b38b932db004dd483c5dfa89181f45 | market=btc-updown-5m-1772559000 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 17:45:11 UTC | 2026-03-03 17:45:11 | order_id=0x8017ef7de3180ec4680b3e1ae81cab0098c541ea2f04908b581b6428e983c3ca | market=btc-updown-5m-1772559900 | coin=BTC | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UDUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 17:50:11 UTC | 2026-03-03 17:50:11 | order_id=0xec8648071663df7d20e3d403db4d0df88c834fb4755b97a99b14624d3490c8c5 | market=btc-updown-5m-1772560200 | coin=BTC | side=DOWN | entry=0.5100 | size=4.9992 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4496
2026-03-03 17:50:11 UTC | 2026-03-03 17:50:11 | order_id=0xfe63b0a07d551c2b6c1787932ee920719e51b728b65a7523a320afea2f71c551 | market=eth-updown-5m-1772560200 | coin=ETH | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=WIN +$2.4500
2026-03-03 17:50:11 UTC | 2026-03-03 17:50:11 | order_id=0x1791a4fc8339bc1ef4dfb911236d34426e86518e6cd42daccbcfb3d7b7a1b87e | market=sol-updown-5m-1772560200 | coin=SOL | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
2026-03-03 17:50:11 UTC | 2026-03-03 17:50:11 | order_id=0x2f41ff433a4859f42d12ba5e148aba5056dcd52860e36f35fd49acfdad033990 | market=xrp-updown-5m-1772560200 | coin=XRP | side=DOWN | entry=0.5100 | size=5.0000 | pnl=-- | pattern=UUU | dry_run=False | outcome=LOSS -$2.5500
