slug,market_id,question,outcome_0,outcome_1,result_id,status
btc-updown-5m-1768666200,0x960646f8867e2bb49438695f6122b16ea05e52b23ef1d56d13a6150e3ba2db5a,"Bitcoin Up or Down - January 17, 11:10AM-11:15AM ET",Up,Down,0,resolved
sol-updown-5m-1768339800,0x78d8c06cbec7b75b1ba4c40c9595491a6e097a1cdb96e7f6a79891512ebcab13,"Solana Up or Down - January 13, 4:30PM-4:35PM ET",Up,Down,1,resolved
eth-updown-5m-1767002100,0x76fdd3c71c675cb514b21e213bb6d9212b5f4b52def2d8ccc5e36d982d87c4ee,"Ethereum Up or Down - December 29, 4:55AM-5:00AM ET",Up,Down,0,resolved
sol-updown-5m-1772394600,0x20da5275392de01349b7110d1d51afd46f44a37eebe8943625852095ceb0ea09,"Solana Up or Down - March 1, 2:50PM-2:55PM ET",Up,Down,,active
xrp-updown-5m-1766546400,0xfff99857563021f47232364bf2d1f910d70fe824e0ac30ecb44a3de14e036bd4,"XRP Up or Down - December 23, 10:20PM-10:25PM ET",Up,Down,0,resolved
sol-updown-5m-1767288900,0xb19dd8a6f433df2053487fc71dfac0974cd2b318a64e59ab2fe40a5a3758c757,"Solana Up or Down - January 1, 12:35PM-12:40PM ET",Up,Down,0,resolved
eth-updown-5m-1767067500,0xa3fcc3f63b892c5563f7ce1411b3eccea5691357bd9efe50080e9b0a06ed2881,"Ethereum Up or Down - December 29, 11:05PM-11:10PM ET",Up,Down,1,resolved
eth-updown-5m-1767395100,0x4346d4b44f0936afc8f283f7e6553f6a641471ea30b903a296c22dc29dd03270,"Ethereum Up or Down - January 2, 6:05PM-6:10PM ET",Up,Down,1,resolved
xrp-updown-5m-1771647300,0x5244b9c8cf6fe0c78c3df1fc19379ff1d4a20e5e47e2542e8c6cd7e08c911323,"XRP Up or Down - February 20, 11:15PM-11:20PM ET",Up,Down,1,resolved
eth-updown-5m-1766457600,0xb70c6999fe1ea401d4558127e2f5adb1e0429dd5ffe174b38e119bf9de6d0c31,"Ethereum Up or Down - December 22, 9:40PM-9:45PM ET",Up,Down,1,resolved
btc-updown-5m-1771593900,0xec670517aa89b9166a8da245c4029cb1aa4aaa67026718522ed298f02fdde4e1,"Bitcoin Up or Down - February 20, 8:25AM-8:30AM ET",Up,Down,0,resolved
btc-updown-5m-1772129400,0x4033c8b69e576ee8cec2d15d0ad74d1ce601ff2f43b4c6f62e68b577afc5e325,"Bitcoin Up or Down - February 26, 1:10PM-1:15PM ET",Up,Down,0,resolved
xrp-updown-5m-1768739100,0xfb052075bbb96d7be96411d6816442da23486404ee481d2586e0865b899cb433,"XRP Up or Down - January 18, 7:25AM-7:30AM ET",Up,Down,0,resolved
eth-updown-5m-1772005500,0x1cbae8f0e22c262dbe81473b2f136a0e6e42f84b34a923775d76f92f6f39e50a,"Ethereum Up or Down - February 25, 2:45AM-2:50AM ET",Up,Down,1,resolved
btc-updown-5m-1768927200,0xab66ea69a1b21505bb7a5e6dfdc4bfd7240a400c8733f64c58473eaa6d9c9346,"Bitcoin Up or Down - January 20, 11:40AM-11:45AM ET",Up,Down,1,resolved
btc-updown-5m-1766373300,0xb6c044814beaadc9ed7140cdd7352617a3fa76b5236b1a766a264b608bcfdcde,"Bitcoin Up or Down - December 21, 10:15PM-10:20PM ET",Up,Down,0,resolved
eth-updown-5m-1766037600,0x324d5385b7719ee3b52adbca0b8fbf06d7ffc5acb3fa3a91e83642938ecd3601,"Ethereum Up or Down - December 18, 1:00AM-1:05AM ET",Up,Down,0,resolved
btc-updown-5m-1771151100,0xc618a4f252877f590f3bcad7c557f21ae7a554c4296b611af0ca8e3842eb1c05,"Bitcoin Up or Down - February 15, 5:25AM-5:30AM ET",Up,Down,0,resolved
btc-updown-5m-1772351700,0x77e6fde768b7c814ead77790f39a163b04e22b13fcf92ec98ca0c369615631a6,"Bitcoin Up or Down - March 1, 2:55AM-3:00AM ET",Up,Down,,active
sol-updown-5m-1772078100,0xcfd66321e5f8cd066f7d9c9b0721d9f49133a4b78792264cdc575fc21f044cb3,"Solana Up or Down - February 25, 10:55PM-11:00PM ET",Up,Down,1,resolved
btc-updown-5m-1769466000,0x171568bda8627c535fe1f7c0facfcf3c24089d45ee9b6cd749207261196a67f7,"Bitcoin Up or Down - January 26, 5:20PM-5:25PM ET",Up,Down,0,resolved
btc-updown-5m-1766042400,0x3c78ed879bb6be2de6b2906b5f9f640f43c8272731704ae814e2b48786a37ca3,"Bitcoin Up or Down - December 18, 2:20AM-2:25AM ET",Up,Down,0,resolved
xrp-updown-5m-1769393700,0x14c40613c40960a766bafbe68b1fa61e999e5652f5c35dd1643bb5950085bb66,"XRP Up or Down - January 25, 9:15PM-9:20PM ET",Up,Down,1,resolved
btc-updown-5m-1771380900,0x0cbcd9c215bf5a0835cd2f5b6281b1fbfa4113f91b8057bc4215ff4245cd950f,"Bitcoin Up or Down - February 17, 9:15PM-9:20PM ET",Up,Down,1,resolved
xrp-updown-5m-1768516500,0x728df6f57cc10400a0bea9a6dde94ae3cbaf17a0068e15081af4bd6446150885,"XRP Up or Down - January 15, 5:35PM-5:40PM ET",Up,Down,0,resolved
btc-updown-5m-1766036100,0x3566ce2d431ba4a795fd145ceea96fb2b776f127229363c9bf36da200d638853,"Bitcoin Up or Down - December 18, 12:35AM-12:40AM ET",Up,Down,0,resolved
eth-updown-5m-1769015100,0x47d97d729204e97093a3e4192369e6aeb374c9631a71718940b9d74e212a3dc2,"Ethereum Up or Down - January 21, 12:05PM-12:10PM ET",Up,Down,1,resolved
xrp-updown-5m-1766730000,0x93c3129ccbc98c63a8fd240b52d928bda7ca55efa635841257e5ae579afd07c0,"XRP Up or Down - December 26, 1:20AM-1:25AM ET",Up,Down,1,resolved
btc-updown-5m-1766566500,0x4585047edbbe934493eb74f2add6a382a317fca47ced2b7f8959a5e16753e929,"Bitcoin Up or Down - December 24, 3:55AM-4:00AM ET",Up,Down,1,resolved
